class	time_point	avg_expression
ENSG00000189298.13	bending	H003	2.295
ENSG00000179941.6	bending	H003	2.31375
ENSG00000181513.14	bending	H003	3.55125
ENSG00000205643.10	bending	H003	3.65625
ENSG00000160703.15	bending	H003	3.78917
ENSG00000135828.11	bending	H003	3.94083
ENSG00000235194.8	bending	H003	4.19292
ENSG00000185361.8	bending	H003	4.58417
ENSG00000215271.7	bending	H003	4.75833
ENSG00000174684.6	bending	H003	4.87042
ENSG00000183340.6	bending	H003	5.04708
ENSG00000160113.5	bending	H003	5.0775
ENSG00000180340.6	bending	H003	5.20292
ENSG00000167700.8	bending	H003	5.37625
ENSG00000170915.8	bending	H003	5.44708
ENSG00000275074.1	bending	H003	5.48708
ENSG00000178096.8	bending	H003	5.57792
ENSG00000185880.12	bending	H003	5.68417
ENSG00000100211.10	bending	H003	6.22917
ENSG00000237651.6	bending	H003	6.8325
ENSG00000144026.11	bending	H003	7.185
ENSG00000121486.11	bending	H003	7.73792
ENSG00000143303.11	bending	H003	8.1425
ENSG00000185905.3	bending	H003	8.62875
ENSG00000140939.14	bending	H003	8.85375
ENSG00000168936.10	bending	H003	8.98458
ENSG00000183309.11	bending	H003	10.2996
ENSG00000141295.13	bending	H003	10.8546
ENSG00000204237.4	bending	H003	12.375
ENSG00000005238.19	bending	H003	12.3829
ENSG00000185033.14	bending	H003	12.4517
ENSG00000106560.10	bending	H003	14.1796
ENSG00000149782.11	bending	H003	15.2892
ENSG00000158793.13	bending	H003	16.1908
ENSG00000168310.10	bending	H003	19.1904
ENSG00000111276.10	bending	H003	20.1304
ENSG00000104783.11	bending	H003	20.2996
ENSG00000122687.17	bending	H003	20.4788
ENSG00000107816.17	bending	H003	21.2954
ENSG00000100284.20	bending	H003	22.1212
ENSG00000118518.15	bending	H003	23.5708
ENSG00000133612.18	bending	H003	25.2346
ENSG00000213689.10	bending	H003	27.6483
ENSG00000138080.13	bending	H003	30.9842
ENSG00000149257.13	bending	H003	33.6579
ENSG00000016864.16	bending	H003	35.8737
ENSG00000166925.8	bending	H003	42.2858
ENSG00000175215.9	bending	H003	50.0579
ENSG00000152518.6	bending	H003	58.7933
ENSG00000197776.7	bending	H006	0.805
ENSG00000139508.14	bending	H006	0.882083
ENSG00000257108.1	bending	H006	1.39458
ENSG00000162241.12	bending	H006	1.5575
ENSG00000107890.16	bending	H006	1.58917
ENSG00000168026.16	bending	H006	1.72417
ENSG00000232859.9	bending	H006	1.74583
ENSG00000122224.17	bending	H006	1.75542
ENSG00000234409.6	bending	H006	1.76583
ENSG00000166046.10	bending	H006	1.845
ENSG00000140043.11	bending	H006	1.92917
ENSG00000140876.11	bending	H006	1.9375
ENSG00000182134.15	bending	H006	1.94708
ENSG00000180787.5	bending	H006	1.95542
ENSG00000134326.11	bending	H006	1.98333
ENSG00000177854.7	bending	H006	2.13208
ENSG00000100342.20	bending	H006	2.205
ENSG00000186300.11	bending	H006	2.20833
ENSG00000232653.8	bending	H006	2.24917
ENSG00000125434.10	bending	H006	2.26333
ENSG00000172824.14	bending	H006	2.27083
ENSG00000196263.7	bending	H006	2.31708
ENSG00000196981.3	bending	H006	2.45
ENSG00000179403.11	bending	H006	2.48542
ENSG00000171813.13	bending	H006	2.53958
ENSG00000277258.4	bending	H006	2.6525
ENSG00000001461.16	bending	H006	2.67792
ENSG00000196220.15	bending	H006	2.72208
ENSG00000110042.7	bending	H006	2.87
ENSG00000177409.11	bending	H006	2.97875
ENSG00000197056.9	bending	H006	3.1175
ENSG00000161298.16	bending	H006	3.31833
ENSG00000138380.17	bending	H006	3.33958
ENSG00000151876.12	bending	H006	3.43708
ENSG00000066294.14	bending	H006	3.46958
ENSG00000151470.12	bending	H006	3.76042
ENSG00000267534.2	bending	H006	3.76083
ENSG00000183323.12	bending	H006	3.7975
ENSG00000146776.14	bending	H006	3.80833
ENSG00000137078.8	bending	H006	4.11708
ENSG00000132481.6	bending	H006	4.12083
ENSG00000197568.13	bending	H006	4.13042
ENSG00000173548.8	bending	H006	4.155
ENSG00000169964.5	bending	H006	4.24542
ENSG00000180354.15	bending	H006	4.39458
ENSG00000186951.16	bending	H006	4.40958
ENSG00000108771.12	bending	H006	4.44458
ENSG00000162836.11	bending	H006	4.52875
ENSG00000211584.13	bending	H006	4.605
ENSG00000100439.10	bending	H006	4.6525
ENSG00000139793.18	bending	H006	4.65583
ENSG00000074855.10	bending	H006	4.68833
ENSG00000010318.19	bending	H006	4.73417
ENSG00000164118.12	bending	H006	4.73833
ENSG00000115267.5	bending	H006	4.79042
ENSG00000101751.10	bending	H006	4.80542
ENSG00000085871.8	bending	H006	5.06417
ENSG00000083750.12	bending	H006	5.11375
ENSG00000010626.14	bending	H006	5.12625
ENSG00000134061.5	bending	H006	5.25375
ENSG00000119711.12	bending	H006	5.25417
ENSG00000114026.21	bending	H006	5.25958
ENSG00000178199.13	bending	H006	5.32
ENSG00000140682.18	bending	H006	5.34208
ENSG00000180891.12	bending	H006	5.45042
ENSG00000270276.2	bending	H006	5.60583
ENSG00000071246.10	bending	H006	5.6225
ENSG00000213865.7	bending	H006	5.64042
ENSG00000180233.10	bending	H006	5.82333
ENSG00000255339.6	bending	H006	5.83958
ENSG00000188549.12	bending	H006	5.87708
ENSG00000258659.6	bending	H006	6.01875
ENSG00000177683.13	bending	H006	6.10333
ENSG00000165507.8	bending	H006	6.11958
ENSG00000183486.12	bending	H006	6.12958
ENSG00000111801.15	bending	H006	6.16833
ENSG00000125898.12	bending	H006	6.17833
ENSG00000103253.17	bending	H006	6.24792
ENSG00000110013.12	bending	H006	6.43167
ENSG00000079308.16	bending	H006	6.44917
ENSG00000160013.8	bending	H006	6.45875
ENSG00000124098.9	bending	H006	6.5175
ENSG00000137764.19	bending	H006	6.61792
ENSG00000099330.8	bending	H006	6.725
ENSG00000117020.16	bending	H006	6.73083
ENSG00000185432.11	bending	H006	6.73958
ENSG00000093072.15	bending	H006	6.845
ENSG00000136169.16	bending	H006	6.88583
ENSG00000112367.10	bending	H006	6.91125
ENSG00000133195.11	bending	H006	6.91542
ENSG00000013563.13	bending	H006	7.05917
ENSG00000205707.10	bending	H006	7.07917
ENSG00000103319.11	bending	H006	7.13708
ENSG00000100077.14	bending	H006	7.25125
ENSG00000184574.9	bending	H006	7.49917
ENSG00000119950.20	bending	H006	7.54667
ENSG00000169231.13	bending	H006	7.57
ENSG00000184508.10	bending	H006	7.70583
ENSG00000186814.12	bending	H006	7.74042
ENSG00000047346.12	bending	H006	7.76583
ENSG00000143409.15	bending	H006	7.76917
ENSG00000167123.18	bending	H006	7.8875
ENSG00000167208.14	bending	H006	7.975
ENSG00000111335.12	bending	H006	8.0425
ENSG00000185973.10	bending	H006	8.0775
ENSG00000130517.13	bending	H006	8.33875
ENSG00000139597.17	bending	H006	8.3525
ENSG00000079257.7	bending	H006	8.39875
ENSG00000140416.19	bending	H006	8.5025
ENSG00000095066.11	bending	H006	8.6075
ENSG00000172465.13	bending	H006	8.64083
ENSG00000153029.14	bending	H006	8.66625
ENSG00000126351.12	bending	H006	8.68
ENSG00000113522.13	bending	H006	8.71333
ENSG00000135924.15	bending	H006	8.99167
ENSG00000128604.18	bending	H006	9.06458
ENSG00000112343.10	bending	H006	9.07542
ENSG00000175463.11	bending	H006	9.08375
ENSG00000179029.14	bending	H006	9.19667
ENSG00000163755.8	bending	H006	9.2725
ENSG00000131018.22	bending	H006	9.37083
ENSG00000119471.14	bending	H006	9.40083
ENSG00000197355.10	bending	H006	9.47083
ENSG00000106785.14	bending	H006	9.48125
ENSG00000240303.7	bending	H006	9.52125
ENSG00000175575.12	bending	H006	9.55958
ENSG00000257093.6	bending	H006	9.60042
ENSG00000138496.16	bending	H006	9.66917
ENSG00000164938.13	bending	H006	9.72792
ENSG00000005059.15	bending	H006	9.73667
ENSG00000118960.12	bending	H006	9.96542
ENSG00000114268.11	bending	H006	10.0058
ENSG00000167748.10	bending	H006	10.0933
ENSG00000101986.11	bending	H006	10.2938
ENSG00000107077.17	bending	H006	10.3692
ENSG00000089127.12	bending	H006	10.5571
ENSG00000146409.10	bending	H006	10.5975
ENSG00000090661.11	bending	H006	10.6229
ENSG00000159884.11	bending	H006	10.7675
ENSG00000139178.10	bending	H006	10.8329
ENSG00000158373.8	bending	H006	11.005
ENSG00000154134.14	bending	H006	11.0312
ENSG00000145348.16	bending	H006	11.0558
ENSG00000123636.17	bending	H006	11.2608
ENSG00000180902.16	bending	H006	11.2879
ENSG00000114735.9	bending	H006	11.7088
ENSG00000180573.9	bending	H006	11.7508
ENSG00000138468.15	bending	H006	11.7846
ENSG00000128294.15	bending	H006	11.93
ENSG00000109323.8	bending	H006	12.125
ENSG00000133789.14	bending	H006	12.1371
ENSG00000186654.20	bending	H006	12.16
ENSG00000197879.14	bending	H006	12.1729
ENSG00000131069.19	bending	H006	12.4767
ENSG00000125637.15	bending	H006	12.5204
ENSG00000054282.15	bending	H006	12.575
ENSG00000137700.16	bending	H006	12.5971
ENSG00000135899.16	bending	H006	12.6054
ENSG00000163840.9	bending	H006	12.6562
ENSG00000205744.9	bending	H006	12.8137
ENSG00000108515.17	bending	H006	13.0887
ENSG00000101079.20	bending	H006	13.2742
ENSG00000277972.1	bending	H006	13.2775
ENSG00000144711.13	bending	H006	13.4025
ENSG00000147130.14	bending	H006	13.4104
ENSG00000169220.17	bending	H006	13.4642
ENSG00000157870.14	bending	H006	13.495
ENSG00000148218.15	bending	H006	13.5892
ENSG00000162073.13	bending	H006	13.685
ENSG00000104133.14	bending	H006	13.6883
ENSG00000125648.14	bending	H006	13.8417
ENSG00000075826.16	bending	H006	14.1683
ENSG00000143353.11	bending	H006	14.1929
ENSG00000095585.16	bending	H006	14.4325
ENSG00000214013.9	bending	H006	14.4433
ENSG00000183513.8	bending	H006	14.5608
ENSG00000243749.1	bending	H006	14.6367
ENSG00000175938.6	bending	H006	14.7146
ENSG00000151502.10	bending	H006	14.7362
ENSG00000132530.16	bending	H006	14.8246
ENSG00000137145.20	bending	H006	14.8754
ENSG00000162777.16	bending	H006	14.9742
ENSG00000163344.5	bending	H006	15.2092
ENSG00000121851.12	bending	H006	15.4342
ENSG00000124839.12	bending	H006	15.8596
ENSG00000108840.15	bending	H006	15.9817
ENSG00000028277.20	bending	H006	16.5442
ENSG00000130475.14	bending	H006	16.5971
ENSG00000168067.11	bending	H006	16.87
ENSG00000136247.14	bending	H006	17.1067
ENSG00000160685.13	bending	H006	17.1687
ENSG00000154930.14	bending	H006	17.2658
ENSG00000071073.12	bending	H006	17.2846
ENSG00000120860.10	bending	H006	17.3342
ENSG00000171148.13	bending	H006	17.6692
ENSG00000117305.14	bending	H006	17.8337
ENSG00000111653.19	bending	H006	18.1396
ENSG00000237765.6	bending	H006	18.3562
ENSG00000244509.3	bending	H006	18.4512
ENSG00000129007.14	bending	H006	18.4887
ENSG00000179912.20	bending	H006	18.6271
ENSG00000196187.11	bending	H006	18.6321
ENSG00000131374.14	bending	H006	18.6808
ENSG00000167107.12	bending	H006	18.9196
ENSG00000102893.15	bending	H006	19.2683
ENSG00000112679.14	bending	H006	19.4875
ENSG00000072818.11	bending	H006	19.5325
ENSG00000181038.13	bending	H006	19.6638
ENSG00000162222.13	bending	H006	19.7829
ENSG00000090238.11	bending	H006	20.0008
ENSG00000273748.1	bending	H006	20.7842
ENSG00000125089.16	bending	H006	20.9029
ENSG00000187688.14	bending	H006	21.0633
ENSG00000197943.9	bending	H006	21.3104
ENSG00000163516.13	bending	H006	21.5008
ENSG00000185222.7	bending	H006	21.7996
ENSG00000102032.12	bending	H006	21.9033
ENSG00000149311.17	bending	H006	21.9496
ENSG00000145730.20	bending	H006	21.9638
ENSG00000128284.19	bending	H006	22.2196
ENSG00000196743.8	bending	H006	22.4375
ENSG00000108799.12	bending	H006	22.5225
ENSG00000138172.10	bending	H006	22.7196
ENSG00000012822.15	bending	H006	22.91
ENSG00000167895.14	bending	H006	23.3571
ENSG00000169241.17	bending	H006	23.63
ENSG00000129003.15	bending	H006	24.2792
ENSG00000137101.12	bending	H006	24.5642
ENSG00000196704.11	bending	H006	24.6146
ENSG00000110911.14	bending	H006	24.7496
ENSG00000007129.17	bending	H006	24.9108
ENSG00000175482.8	bending	H006	24.9567
ENSG00000214063.10	bending	H006	25.1579
ENSG00000058668.14	bending	H006	25.2621
ENSG00000135473.14	bending	H006	27.1083
ENSG00000133943.20	bending	H006	27.5162
ENSG00000100055.20	bending	H006	27.8067
ENSG00000167766.18	bending	H006	27.8642
ENSG00000121281.12	bending	H006	28.5221
ENSG00000137486.16	bending	H006	28.9046
ENSG00000163346.16	bending	H006	29.3321
ENSG00000174004.5	bending	H006	29.6713
ENSG00000050426.15	bending	H006	30.1833
ENSG00000173821.19	bending	H006	30.6629
ENSG00000186469.8	bending	H006	30.825
ENSG00000121060.14	bending	H006	31.6704
ENSG00000106991.13	bending	H006	31.6958
ENSG00000172794.19	bending	H006	31.6958
ENSG00000127952.16	bending	H006	32.0408
ENSG00000111843.13	bending	H006	33.1037
ENSG00000087266.15	bending	H006	34.5938
ENSG00000092929.11	bending	H006	35.5408
ENSG00000122033.14	bending	H006	36.8971
ENSG00000173442.12	bending	H006	37.1821
ENSG00000169499.14	bending	H006	37.2508
ENSG00000165025.14	bending	H006	37.5337
ENSG00000035862.12	bending	H006	39.3188
ENSG00000104765.14	bending	H006	40.625
ENSG00000156587.15	bending	H006	41.0938
ENSG00000121064.12	bending	H006	41.3171
ENSG00000120129.5	bending	H006	42.6979
ENSG00000273749.4	bending	H006	43.3438
ENSG00000172725.13	bending	H006	43.385
ENSG00000156171.14	bending	H006	45.0617
